Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.36,-.52,-.25,-.31,-.08,-.18,-.19,-.27,-.24,-.32,-.43,-.41,-.30,***,***,-.21,-.21,-.33
1881,-.30,-.22,-.04,-.01,.03,-.34,.07,-.05,-.28,-.45,-.38,-.24,-.18,-.20,-.31,.00,-.11,-.37
1882,.25,.20,.01,-.33,-.26,-.31,-.29,-.15,-.25,-.53,-.33,-.69,-.22,-.18,.07,-.19,-.25,-.37
1883,-.59,-.67,-.16,-.31,-.27,-.13,-.07,-.24,-.35,-.17,-.45,-.16,-.30,-.34,-.65,-.25,-.15,-.32
1884,-.16,-.13,-.66,-.60,-.37,-.43,-.42,-.52,-.47,-.46,-.58,-.48,-.44,-.41,-.15,-.54,-.46,-.50
1885,-1.01,-.46,-.25,-.50,-.59,-.46,-.36,-.43,-.41,-.38,-.40,-.13,-.45,-.48,-.65,-.45,-.42,-.40
1886,-.76,-.85,-.72,-.38,-.35,-.38,-.15,-.44,-.34,-.32,-.40,-.23,-.44,-.44,-.58,-.48,-.32,-.35
1887,-1.09,-.71,-.45,-.40,-.27,-.22,-.26,-.56,-.22,-.50,-.28,-.44,-.45,-.43,-.68,-.37,-.35,-.33
1888,-.50,-.62,-.65,-.22,-.16,-.04,-.01,-.23,-.20,-.04,-.02,-.24,-.24,-.26,-.52,-.34,-.09,-.09
1889,-.29,.28,-.03,.15,-.05,-.08,-.09,-.22,-.31,-.43,-.63,-.55,-.19,-.16,-.09,.02,-.13,-.46
1890,-.65,-.59,-.48,-.26,-.37,-.17,-.25,-.41,-.37,-.11,-.64,-.49,-.40,-.40,-.60,-.37,-.27,-.37
1891,-.47,-.69,-.17,-.36,-.17,-.14,-.13,-.14,-.09,-.29,-.54,-.04,-.27,-.31,-.55,-.23,-.14,-.31
1892,-.51,-.18,-.68,-.46,-.25,-.06,-.38,-.34,-.21,-.28,-.83,-.67,-.41,-.35,-.25,-.46,-.26,-.44
1893,-1.51,-.96,-.32,-.30,-.43,-.17,-.14,-.35,-.29,-.28,-.34,-.62,-.48,-.48,-1.05,-.35,-.22,-.30
1894,-.92,-.43,-.22,-.54,-.27,-.41,-.21,-.28,-.33,-.28,-.48,-.36,-.39,-.42,-.66,-.34,-.30,-.37
1895,-.71,-.81,-.50,-.19,-.31,-.21,-.19,-.28,-.06,-.08,-.12,-.22,-.31,-.32,-.63,-.33,-.23,-.09
1896,-.35,-.17,-.49,-.59,-.16,.08,.01,-.10,-.12,.05,-.20,-.21,-.19,-.19,-.25,-.41,-.01,-.09
1897,-.39,-.41,-.39,-.04,.14,-.05,.05,-.06,-.06,-.15,-.25,-.29,-.16,-.15,-.33,-.10,-.02,-.15
1898,.06,-.44,-.80,-.28,-.28,-.08,-.12,-.18,-.17,-.36,-.51,-.26,-.28,-.29,-.22,-.45,-.13,-.35
1899,-.12,-.65,-.59,-.23,-.24,-.35,-.17,-.07,-.05,.04,.35,-.47,-.21,-.19,-.34,-.35,-.20,.11
1900,-.62,-.14,.06,-.10,-.04,-.10,-.12,-.08,-.03,.23,-.12,-.03,-.09,-.13,-.41,-.03,-.10,.03
1901,-.33,-.10,.27,.10,-.11,.02,.02,-.16,-.27,-.32,-.19,-.40,-.12,-.09,-.15,.09,-.04,-.26
1902,-.13,-.03,-.37,-.37,-.39,-.39,-.32,-.29,-.33,-.34,-.47,-.60,-.34,-.32,-.19,-.38,-.33,-.38
1903,-.23,.11,-.16,-.46,-.43,-.46,-.42,-.55,-.48,-.46,-.41,-.56,-.38,-.38,-.24,-.35,-.48,-.45
1904,-.75,-.61,-.46,-.50,-.44,-.48,-.59,-.54,-.64,-.39,-.09,-.34,-.49,-.50,-.64,-.47,-.54,-.37
1905,-.41,-.82,-.22,-.45,-.28,-.28,-.21,-.23,-.19,-.27,.09,-.16,-.29,-.30,-.52,-.32,-.24,-.12
1906,-.56,-.53,-.20,.05,-.25,-.11,-.26,-.17,-.24,-.17,-.40,.03,-.23,-.25,-.42,-.14,-.18,-.27
1907,-.57,-.72,-.30,-.45,-.58,-.51,-.40,-.38,-.40,-.19,-.55,-.58,-.47,-.42,-.42,-.44,-.43,-.38
1908,-.54,-.27,-.70,-.47,-.29,-.29,-.35,-.57,-.30,-.45,-.63,-.56,-.45,-.45,-.46,-.48,-.41,-.46
1909,-.93,-.45,-.66,-.65,-.49,-.52,-.45,-.36,-.37,-.34,-.11,-.57,-.49,-.49,-.64,-.60,-.44,-.28
1910,-.35,-.36,-.49,-.41,-.30,-.45,-.38,-.41,-.43,-.31,-.61,-.81,-.44,-.42,-.43,-.40,-.41,-.45
1911,-.69,-.58,-.62,-.45,-.45,-.35,-.38,-.43,-.38,-.19,-.20,-.30,-.42,-.46,-.69,-.51,-.39,-.26
1912,-.34,-.16,-.60,-.15,-.13,-.14,-.52,-.77,-.80,-.84,-.51,-.57,-.46,-.44,-.27,-.29,-.48,-.72
1913,-.56,-.63,-.47,-.49,-.54,-.49,-.52,-.46,-.42,-.39,-.14,.11,-.42,-.47,-.59,-.50,-.49,-.32
1914,.17,-.10,-.35,-.39,-.19,-.22,-.33,-.27,-.30,.00,-.22,-.05,-.19,-.17,.06,-.31,-.27,-.17
1915,-.26,-.09,-.24,.08,-.02,-.12,-.10,-.16,-.21,-.27,-.03,-.24,-.14,-.12,-.14,-.06,-.13,-.17
1916,-.09,-.16,-.38,-.34,-.38,-.51,-.34,-.37,-.49,-.35,-.46,-1.12,-.42,-.34,-.17,-.36,-.41,-.43
1917,-.52,-.68,-.74,-.64,-.73,-.49,-.33,-.40,-.30,-.63,-.32,-1.06,-.57,-.57,-.77,-.70,-.40,-.42
1918,-.70,-.47,-.25,-.59,-.49,-.45,-.34,-.37,-.25,-.05,-.23,-.56,-.40,-.44,-.74,-.44,-.39,-.18
1919,-.38,-.39,-.37,-.23,-.42,-.39,-.34,-.31,-.19,-.09,-.48,-.56,-.35,-.35,-.44,-.34,-.35,-.25
1920,-.15,-.29,.00,-.21,-.21,-.26,-.25,-.31,-.35,-.40,-.45,-.72,-.30,-.29,-.33,-.14,-.28,-.40
1921,.19,-.09,-.10,-.16,-.24,-.14,-.02,-.29,-.17,.01,-.10,-.12,-.10,-.15,-.21,-.17,-.15,-.09
1922,-.39,-.63,-.11,-.16,-.18,-.15,-.28,-.37,-.42,-.31,-.12,-.16,-.27,-.27,-.38,-.15,-.26,-.28
1923,-.16,-.47,-.39,-.52,-.39,-.24,-.29,-.28,-.17,.06,.16,.11,-.22,-.24,-.26,-.43,-.27,.02
1924,-.27,-.20,.03,-.26,-.06,-.19,-.22,-.27,-.22,-.24,.12,-.36,-.18,-.14,-.12,-.10,-.23,-.11
1925,-.26,-.36,-.22,-.16,-.21,-.26,-.26,-.20,-.05,-.09,.24,.23,-.13,-.18,-.33,-.20,-.24,.03
1926,.54,.19,.39,-.12,-.23,-.20,-.20,-.06,-.03,.06,.17,-.29,.02,.06,.32,.02,-.15,.07
1927,-.27,-.06,-.46,-.26,-.14,-.14,-.08,-.15,.04,.25,.10,-.36,-.13,-.12,-.21,-.29,-.12,.13
1928,.27,.09,-.22,-.32,-.17,-.32,-.11,-.19,-.15,-.08,.05,-.03,-.10,-.13,.00,-.24,-.21,-.06
1929,-.55,-.78,-.19,-.35,-.28,-.39,-.35,-.20,-.20,-.02,-.02,-.65,-.33,-.28,-.46,-.27,-.31,-.08
1930,-.12,-.18,.12,-.15,-.20,-.12,-.03,.02,-.02,.02,.45,.09,-.01,-.07,-.32,-.07,-.04,.15
1931,.02,-.22,-.06,-.20,-.14,.15,.08,.09,.18,.37,.26,.10,.05,.05,-.04,-.13,.11,.27
1932,.39,-.18,-.20,.10,-.10,-.14,-.15,-.08,.10,.14,-.32,-.21,-.05,-.03,.11,-.07,-.12,-.03
1933,-.18,-.29,-.31,-.16,-.25,-.31,-.14,-.14,-.27,-.16,-.24,-.54,-.25,-.22,-.23,-.24,-.20,-.22
1934,-.13,.33,-.26,-.28,.09,-.01,-.03,-.09,-.13,.13,.27,.18,.00,-.06,-.11,-.15,-.05,.09
1935,-.40,.57,.04,-.35,-.28,-.14,-.04,-.07,-.05,.12,-.31,-.16,-.09,-.06,.11,-.20,-.08,-.08
1936,-.28,-.49,-.12,-.05,.00,.04,.09,.03,.07,.08,.15,.15,-.03,-.05,-.31,-.06,.05,.10
1937,.10,.25,-.22,-.06,.12,.15,.15,.16,.29,.33,.24,.00,.12,.14,.16,-.05,.15,.29
1938,.36,.29,.35,.32,.03,-.06,-.02,.08,.15,.32,.31,-.13,.17,.18,.22,.23,.00,.26
1939,.04,.00,-.24,-.08,.02,.00,.05,.09,.13,.07,.26,.78,.09,.02,-.03,-.10,.05,.15
1940,-.10,.15,.03,.28,.17,.17,.15,.07,.26,.28,.30,.36,.18,.21,.28,.16,.13,.28
1941,.18,.47,.13,.13,.23,.21,.25,.19,.10,.51,.18,.20,.23,.25,.34,.16,.22,.26
1942,.40,-.08,.00,.09,.17,.11,-.01,-.08,.11,.28,.26,.27,.13,.12,.17,.09,.01,.22
1943,-.09,.38,.00,.31,.23,-.06,-.02,.10,.14,.46,.37,.38,.18,.18,.19,.18,.01,.32
1944,.63,.44,.32,.19,.25,.17,.15,.17,.36,.44,.19,.00,.28,.31,.48,.25,.16,.33
1945,.12,-.05,.10,.29,.08,.08,.07,.29,.21,.24,.09,-.21,.11,.13,.02,.16,.15,.18
1946,.35,.10,.12,.32,.04,-.05,-.04,-.09,-.03,.02,.07,-.45,.03,.05,.08,.16,-.06,.02
1947,-.04,-.03,.29,.23,.07,.01,-.03,-.04,-.01,.40,.19,-.04,.08,.05,-.17,.20,-.02,.20
1948,.30,-.14,-.27,-.02,.17,.05,.01,.03,-.02,.08,.04,-.39,-.01,.01,.04,-.04,.03,.03
1949,.23,-.09,.04,-.03,.00,-.20,-.11,-.05,-.10,.07,.05,-.14,-.03,-.05,-.08,.01,-.12,.01
1950,-.29,-.27,.06,-.22,-.04,-.06,-.18,-.19,-.09,-.06,-.34,-.13,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.51,-.18,.07,.17,-.02,.08,.22,.34,.29,.08,.38,.05,.00,-.33,.02,.09,.23
1952,.16,.17,-.22,.18,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.04,.12,-.03
1953,.24,.37,.25,.41,.25,.25,.22,.18,.17,.27,.09,.23,.24,.23,.21,.30,.22,.18
1954,-.24,.00,-.16,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.43,-.12,-.43,-.24,-.13,-.10,-.05,.07,-.02,.12,-.34,-.28,-.09,-.08,.06,-.27,-.03,-.08
1956,-.05,-.32,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.11,-.23,-.25,-.21,-.26,-.22,-.29
1957,-.13,-.05,-.10,-.09,-.05,.12,.11,.16,.13,.07,.13,.24,.04,.01,-.10,-.08,.13,.11
1958,.69,.28,.16,.03,.12,.05,.05,.13,.08,.08,.03,.18,.16,.16,.40,.10,.08,.06
1959,.24,.17,.33,.23,.04,.14,.05,.10,.13,-.04,.03,.10,.13,.13,.20,.20,.10,.04
1960,.16,.42,-.40,-.13,.03,.18,.09,.11,.12,.05,-.08,.40,.08,.05,.23,-.16,.13,.03
1961,.17,.29,.22,.14,.07,.18,.06,.05,-.03,-.04,.07,-.17,.08,.13,.29,.14,.09,.00
1962,.27,.36,.30,.22,.02,-.13,.10,.03,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.08
1963,.08,.50,-.11,.04,-.05,-.04,.10,.14,.13,.42,.43,.03,.14,.15,.23,-.04,.07,.33
1964,-.04,-.02,-.32,-.30,-.10,-.09,-.13,-.23,-.28,-.31,-.21,-.27,-.19,-.17,-.01,-.24,-.15,-.27
1965,-.02,-.37,-.09,-.26,-.14,-.20,-.18,-.20,-.20,-.02,.04,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.06,-.10,.02,-.03,-.02,-.02,-.10,-.09,.10,-.01
1967,-.18,-.37,.23,.05,.21,-.06,.04,.06,-.03,.29,.04,.03,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,.00,-.06,-.05,-.08,-.08,-.05,-.01,-.21,-.33,-.07,-.04,-.14,.13,-.07,-.09
1969,-.43,-.46,-.20,.04,.12,-.04,.06,.05,.04,.03,.15,.31,-.03,-.08,-.41,-.02,.02,.07
1970,-.03,.27,-.07,-.02,.00,.02,-.04,-.05,-.05,-.20,.01,-.31,-.04,.01,.19,-.03,-.03,-.08
1971,-.15,-.21,-.28,-.20,-.12,-.14,-.13,-.16,-.14,-.16,-.02,-.14,-.15,-.17,-.22,-.20,-.14,-.11
1972,-.54,-.52,.00,-.12,-.16,-.10,-.05,-.09,-.27,-.04,-.19,-.05,-.18,-.18,-.40,-.09,-.08,-.17
1973,.15,.44,.31,.18,.09,.16,.04,.03,-.08,-.08,-.10,-.04,.09,.09,.18,.20,.08,-.09
1974,-.26,-.35,.03,-.10,-.19,-.18,-.13,-.11,-.16,-.23,-.21,-.27,-.18,-.16,-.22,-.09,-.14,-.20
1975,.16,.09,.10,.05,-.02,-.08,-.06,-.14,-.08,-.18,-.30,-.22,-.06,-.06,-.01,.05,-.09,-.19
1976,.05,-.12,-.31,.02,-.26,-.20,-.27,-.21,-.12,-.51,-.32,-.26,-.21,-.21,-.10,-.18,-.22,-.32
1977,-.16,.11,.26,.25,.23,.22,.08,.02,.12,-.02,.27,.02,.12,.09,-.10,.25,.11,.13
1978,.16,.04,.21,.07,-.06,-.14,-.07,-.14,-.01,-.01,.16,.02,.02,.02,.07,.07,-.12,.05
1979,-.05,-.36,.18,-.17,.01,.07,.05,.04,.19,.23,.24,.54,.08,.04,-.13,.01,.06,.22
1980,.21,.41,.07,.15,.25,.19,.13,.09,.10,.11,.20,.08,.17,.20,.38,.16,.14,.14
1981,.79,.62,.67,.39,.18,.27,.09,.16,.14,.23,.35,.54,.37,.33,.50,.41,.17,.24
1982,-.14,.16,.06,.17,.09,.01,.04,-.07,.06,.00,-.11,.38,.05,.07,.19,.10,-.01,-.02
1983,.55,.35,.42,.06,.05,.11,.20,.25,.26,.12,.49,.11,.25,.27,.43,.18,.19,.29
1984,.33,.02,.18,-.07,.23,.09,.08,.05,-.04,.08,-.10,-.42,.04,.08,.15,.11,.07,-.02
1985,.07,-.30,.00,-.04,.08,.00,-.08,-.02,.02,.02,.02,.16,.00,-.05,-.21,.01,-.03,.02
1986,.36,.31,.26,.15,.19,.14,-.02,.04,-.02,.09,.03,.06,.13,.14,.28,.20,.05,.03
1987,.25,.50,.00,.07,.23,.16,.25,.27,.39,.22,.10,.50,.24,.21,.27,.10,.23,.24
1988,.59,.46,.47,.44,.43,.40,.42,.26,.26,.23,.05,.42,.37,.38,.52,.44,.36,.18
1989,.08,.39,.45,.32,.22,.24,.31,.25,.22,.25,.11,.33,.26,.27,.30,.33,.27,.19
1990,.47,.54,1.16,.70,.50,.47,.32,.40,.41,.47,.45,.38,.52,.52,.45,.79,.40,.45
1991,.59,.56,.45,.55,.33,.47,.42,.35,.35,.29,.32,.20,.41,.42,.51,.44,.41,.32
1992,.60,.49,.54,.15,.18,.04,-.10,-.08,-.19,-.18,-.09,.21,.13,.13,.43,.29,-.05,-.15
1993,.38,.52,.38,.23,.31,.21,.12,.02,-.07,.12,-.21,.22,.19,.18,.37,.31,.12,-.06
1994,.33,-.05,.48,.48,.38,.41,.33,.32,.32,.54,.50,.35,.37,.35,.17,.45,.35,.45
1995,.74,1.19,.58,.71,.41,.50,.37,.53,.43,.59,.56,.26,.57,.58,.76,.57,.46,.53
1996,.26,.54,.31,.17,.34,.25,.28,.18,.03,.04,.34,.34,.26,.25,.35,.28,.24,.14
1997,.36,.59,.74,.48,.42,.48,.41,.48,.51,.62,.59,.50,.51,.50,.43,.55,.46,.57
1998,.61,1.03,.71,.87,.65,.72,.74,.72,.61,.53,.48,.73,.70,.68,.71,.74,.73,.54
1999,.59,.99,.28,.53,.36,.34,.35,.30,.40,.39,.52,.66,.48,.48,.77,.39,.33,.44
2000,.38,.88,.83,.88,.54,.43,.41,.47,.36,.28,.19,.27,.49,.53,.64,.75,.44,.28
2001,.56,.45,.75,.59,.68,.51,.63,.68,.56,.59,.97,.65,.63,.60,.43,.68,.60,.71
2002,1.01,1.14,1.11,.50,.51,.67,.66,.55,.62,.53,.78,.42,.71,.73,.93,.71,.62,.64
2003,.92,.56,.66,.60,.71,.54,.67,.86,.78,.98,.66,.97,.74,.70,.63,.66,.69,.80
2004,.66,.91,.86,.69,.51,.46,.49,.54,.59,.69,.97,.44,.65,.70,.85,.69,.50,.75
2005,.93,.71,.94,.92,.77,.78,.74,.69,.89,.94,1.05,.83,.85,.82,.70,.88,.74,.96
2006,.64,.95,.77,.59,.75,.80,.69,.68,.81,.95,.94,1.15,.81,.78,.81,.70,.72,.90
2007,1.44,.89,.95,1.06,.72,.65,.64,.72,.67,.83,.81,.76,.84,.88,1.16,.91,.67,.77
2008,.33,.58,1.13,.64,.59,.61,.60,.58,.57,.85,.96,.65,.67,.68,.56,.79,.59,.79
2009,.81,.69,.58,.70,.65,.67,.68,.72,.84,.78,.83,.66,.72,.72,.72,.64,.69,.82
2010,.80,.94,1.09,1.13,.93,.84,.88,.85,.70,.89,1.19,.49,.89,.91,.80,1.05,.86,.93
2011,.61,.55,.88,.83,.65,.75,.71,.70,.73,.90,.65,.88,.74,.70,.55,.79,.72,.76
2012,.67,.58,.70,1.06,.96,.93,.84,.76,.86,.90,.97,.45,.81,.84,.71,.91,.84,.91
2013,.84,.78,.81,.67,.77,.76,.68,.72,.69,.82,1.12,.83,.79,.76,.69,.75,.72,.88
