Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.06,-.02,-.13,-.25,-.17,.06,-.04,-.15,.00,.05,-.05,***,***,-.03,-.12,-.06
1881,-.08,-.06,.10,.10,.09,-.05,-.08,-.03,-.04,.00,.00,.09,.00,.00,-.03,.09,-.05,-.02
1882,.07,.07,.07,-.02,-.04,-.15,-.04,.01,-.04,.03,-.01,-.07,-.01,.00,.08,.00,-.06,-.01
1883,-.02,-.08,-.09,-.07,-.10,-.02,-.08,-.05,-.10,-.06,-.05,-.06,-.07,-.07,-.06,-.09,-.05,-.07
1884,-.09,-.06,-.10,-.21,-.32,-.29,-.22,-.07,-.11,-.07,-.11,-.15,-.15,-.14,-.07,-.21,-.19,-.09
1885,-.20,-.23,-.30,-.36,-.33,-.43,-.34,-.23,-.19,-.13,-.11,-.10,-.24,-.25,-.19,-.33,-.33,-.14
1886,-.14,-.20,-.17,-.20,-.15,-.32,-.21,-.19,-.14,-.24,-.15,-.29,-.20,-.19,-.15,-.17,-.24,-.18
1887,-.37,-.44,-.27,-.31,-.35,-.28,-.27,-.17,-.30,-.22,-.25,-.23,-.29,-.29,-.36,-.31,-.24,-.26
1888,-.21,-.13,-.21,-.20,-.29,-.32,-.21,-.10,-.04,.06,.06,.14,-.12,-.15,-.19,-.23,-.21,.03
1889,.08,.03,.13,.03,.01,-.13,-.07,-.20,-.17,-.10,-.06,-.04,-.04,-.03,.08,.05,-.14,-.11
1890,-.21,-.33,-.34,-.35,-.44,-.33,-.33,-.40,-.38,-.40,-.25,-.17,-.33,-.32,-.19,-.38,-.35,-.34
1891,-.21,-.26,-.21,-.20,-.18,-.29,-.23,-.23,-.24,-.16,-.11,-.06,-.20,-.21,-.21,-.19,-.25,-.17
1892,-.09,-.06,-.14,-.22,-.24,-.39,-.26,-.22,-.13,-.01,-.04,-.12,-.16,-.15,-.07,-.20,-.29,-.06
1893,-.13,-.18,-.12,-.24,-.24,-.32,-.14,-.18,-.17,-.10,-.05,-.07,-.16,-.16,-.14,-.20,-.21,-.10
1894,-.16,-.19,-.25,-.37,-.38,-.42,-.28,-.24,-.25,-.20,-.06,-.10,-.24,-.24,-.14,-.33,-.31,-.17
1895,-.16,-.07,-.19,-.27,-.27,-.23,-.18,-.10,-.18,-.12,-.21,-.06,-.17,-.17,-.11,-.24,-.17,-.17
1896,-.09,-.07,-.04,-.02,-.16,-.29,-.05,.00,-.02,.08,.11,.12,-.04,-.05,-.07,-.07,-.12,.06
1897,.09,.07,.11,.00,-.16,-.16,-.08,-.12,-.10,-.10,-.10,-.13,-.06,-.04,.09,-.02,-.12,-.10
1898,-.10,-.16,-.23,-.34,-.34,-.30,-.33,-.37,-.25,-.32,-.26,-.21,-.27,-.26,-.13,-.30,-.33,-.28
1899,-.20,-.14,-.15,-.19,-.23,-.29,-.17,-.11,-.05,-.12,-.09,-.06,-.15,-.16,-.18,-.19,-.19,-.09
1900,-.11,.02,-.05,-.08,-.14,-.09,-.13,-.08,-.06,-.02,.00,-.10,-.07,-.07,-.05,-.09,-.10,-.03
1901,-.11,-.13,-.15,-.16,-.19,-.25,-.30,-.25,-.17,-.27,-.14,-.16,-.19,-.18,-.11,-.17,-.26,-.19
1902,-.19,-.15,-.18,-.18,-.26,-.23,-.22,-.31,-.24,-.27,-.25,-.23,-.23,-.22,-.17,-.20,-.26,-.25
1903,-.25,-.23,-.30,-.36,-.36,-.40,-.28,-.36,-.50,-.48,-.44,-.47,-.37,-.35,-.23,-.34,-.35,-.48
1904,-.52,-.57,-.57,-.52,-.60,-.49,-.44,-.45,-.49,-.39,-.26,-.32,-.47,-.48,-.52,-.56,-.46,-.38
1905,-.28,-.36,-.21,-.21,-.29,-.27,-.30,-.17,-.17,-.21,-.21,-.08,-.23,-.25,-.32,-.24,-.25,-.20
1906,.01,-.05,-.17,-.15,-.28,-.28,-.19,-.24,-.32,-.24,-.36,-.34,-.22,-.20,-.04,-.20,-.24,-.31
